Id,SalePrice
1461,147944.44
1462,158581.11
1463,167229.64
1464,174150.64
1465,154863.22
1466,161053.19
1467,160944.92
1468,165456.89
1469,158380.8
1470,147550.52
1471,157322.7
1472,142854.08
1473,144785.88
1474,152691.22
1475,144540.81
1476,175403.7
1477,170218.9
1478,174519.69
1479,170071.66
1480,182265.81
1481,180263.48
1482,171776.36
1483,162020.86
1484,163518.58
1485,166833.19
1486,169111.62
1487,176185.55
1488,173319.64
1489,160716.12
1490,167138.86
1491,169486.27
1492,130875.82
1493,153339.61
1494,173682.73
1495,177704.33
1496,160904.39
1497,162736.58
1498,156840.28
1499,153888.16
1500,164515.69
1501,161757.28
1502,159885.23
1503,163252.55
1504,173248.05
1505,171298.05
1506,162264.84
1507,169676.84
1508,158727.94
1509,156326.64
1510,161173.11
1511,149441.67
1512,163911.1
1513,149224.38
1514,140430.86
1515,158954.67
1516,153556.3
1517,160370.72
1518,151515.92
1519,174505.11
1520,151862.98
1521,151393.36
1522,167524.67
1523,142591.3
1524,140907.95
1525,147003.89
1526,145015.72
1527,142068.36
1528,142327.22
1529,149540.33
1530,158305.23
1531,146428.27
1532,133394.14
1533,142644.67
1534,136723.83
1535,151029.22
1536,138343.75
1537,126176.266
1538,144219.05
1539,147654.14
1540,118377.27
1541,146093.97
1542,140308.2
1543,147576.27
1544,130832.65
1545,135496.83
1546,147716.78
1547,141548.55
1548,141513.98
1549,142097.2
1550,145509.83
1551,140556.77
1552,155209.48
1553,139904.83
1554,151113.67
1555,161541.73
1556,126659.09
1557,117117.14
1558,141162.42
1559,119662.0
1560,138141.98
1561,133437.52
1562,149130.7
1563,148607.11
1564,156118.92
1565,156004.3
1566,157849.9
1567,135283.14
1568,171226.1
1569,150120.81
1570,157006.05
1571,143288.77
1572,147385.73
1573,164520.58
1574,140824.56
1575,163481.48
1576,176630.8
1577,166591.7
1578,143887.95
1579,150573.58
1580,168585.8
1581,153776.89
1582,149426.78
1583,177961.17
1584,174650.08
1585,161513.3
1586,115824.08
1587,142162.38
1588,150334.55
1589,138587.61
1590,147621.61
1591,130744.31
1592,144700.58
1593,149726.02
1594,111227.35
1595,139017.8
1596,165020.55
1597,162849.48
1598,163362.67
1599,151181.3
1600,151984.8
1601,125001.84
1602,133898.47
1603,128413.34
1604,158859.11
1605,174033.77
1606,159072.03
1607,152021.77
1608,173432.08
1609,160616.02
1610,156254.3
1611,152406.86
1612,160304.89
1613,167012.1
1614,146143.73
1615,130945.18
1616,130019.164
1617,142429.27
1618,146132.9
1619,154082.8
1620,155830.6
1621,150512.64
1622,147929.58
1623,168135.11
1624,169354.98
1625,143884.86
1626,164433.83
1627,167983.7
1628,178034.48
1629,161274.19
1630,167432.62
1631,158855.92
1632,160977.9
1633,160591.61
1634,169010.4
1635,163934.7
1636,165853.8
1637,168377.81
1638,166235.92
1639,167419.27
1640,169567.45
1641,160851.73
1642,162034.8
1643,167299.45
1644,169875.22
1645,160948.83
1646,163611.94
1647,154574.02
1648,149846.67
1649,159086.39
1650,153113.42
1651,149164.34
1652,145500.61
1653,144815.95
1654,153261.53
1655,147395.33
1656,153792.11
1657,154673.0
1658,156130.52
1659,145335.58
1660,164339.16
1661,181037.16
1662,177508.02
1663,176534.3
1664,177087.16
1665,174597.8
1666,176865.7
1667,173877.34
1668,172252.98
1669,171448.61
1670,170975.33
1671,177868.19
1672,185018.64
1673,180358.17
1674,175883.69
1675,171997.77
1676,171184.89
1677,174677.75
1678,167924.28
1679,180630.52
1680,168230.45
1681,169077.28
1682,179437.89
1683,172863.4
1684,166549.19
1685,169791.42
1686,169853.2
1687,158402.3
1688,173799.25
1689,172963.5
1690,172494.14
1691,170843.7
1692,171656.14
1693,154554.81
1694,168529.02
1695,160997.8
1696,172254.19
1697,160716.62
1698,183170.92
1699,173351.39
1700,180910.12
1701,177880.56
1702,170702.44
1703,177165.6
1704,177603.73
1705,174043.77
1706,174755.53
1707,162282.67
1708,164302.05
1709,176323.77
